Destination_code,Origin_code,MSE
TJK,EST,14.21728201
TJK,NOR,12.74622659
TJK,SWE,6.278072783
TJK,POL,5.408999692
TJK,AZE,4.971453545
TJK,THA,4.509292591
TJK,TKM,4.232558359
TJK,AFG,3.808436845
TJK,GBR,3.455003116
TJK,AUT,3.331162113
TJK,SAU,3.26810035
TJK,ITA,2.822291373
TJK,ESP,2.80507563
TJK,FRA,2.779406709
TJK,UKR,2.213706793
TJK,KGZ,2.12577099
TJK,PRK,1.971958972
TJK,ARE,1.502924676
TJK,AUS,1.400174739
TJK,MNG,0.920902021
TJK,COL,0.711090551
TJK,DEU,0.570350094
TJK,IRN,0.564482876
TJK,PAK,0.435780919
TJK,JOR,0.32140484
TJK,USA,0.290316116
TJK,RUS,0.289069059
TJK,IRQ,0.286387721
TJK,KWT,0.262977003
TJK,BEL,0.203472024
TJK,EGY,0.186754018
TJK,LBN,0.158487385
TJK,TUR,0.135854574
TJK,SVK,0.054399607
TJK,KAZ,0.000789626
SLE,KAZ,14.5020156
SLE,DZA,6.27504572
SLE,JAM,5.256209337
SLE,JOR,4.754061248
SLE,GAB,4.652736577
SLE,AGO,4.083083075
SLE,CHL,3.898073291
SLE,RWA,3.851509959
SLE,SDN,3.513386557
SLE,NGA,3.311118643
SLE,GHA,3.119599649
SLE,NLD,3.071469354
SLE,BDI,2.942055994
SLE,BEL,2.64104273
SLE,MNG,2.510644757
SLE,CYP,2.029199292
SLE,CZE,1.859303006
SLE,LKA,1.611706403
SLE,GIN,1.535940917
SLE,AZE,1.500987516
SLE,PRK,1.466311232
SLE,HRV,1.296968777
SLE,MDG,1.271966129
SLE,LBN,1.263145152
SLE,MWI,1.20262182
SLE,BRA,1.191817425
SLE,BWA,0.9879766
SLE,JPN,0.92211771
SLE,LBR,0.874277289
SLE,ARG,0.855987268
SLE,CMR,0.806624198
SLE,MOZ,0.788490766
SLE,ISR,0.735622584
SLE,ZAF,0.731557075
SLE,CIV,0.714816369
SLE,NZL,0.71374897
SLE,SOM,0.706742815
SLE,CAN,0.703172992
SLE,PHL,0.648872668
SLE,IDN,0.615990596
SLE,ECU,0.594417804
SLE,DEU,0.577411049
SLE,IND,0.575969294
SLE,BEN,0.544381063
SLE,TGO,0.533672363
SLE,FRA,0.469364596
SLE,CAF,0.456195873
SLE,SLV,0.444296378
SLE,NPL,0.411756391
SLE,BFA,0.396355194
SLE,RUS,0.390759126
SLE,VNM,0.375222805
SLE,LBY,0.35548215
SLE,UKR,0.33374003
SLE,DJI,0.279370872
SLE,MRT,0.248220819
SLE,NER,0.222789521
SLE,BGD,0.201860945
SLE,EGY,0.194307163
SLE,GMB,0.191015201
SLE,PER,0.181919883
SLE,SEN,0.175245208
SLE,IRL,0.169327699
SLE,PSE,0.165819301
SLE,IRN,0.157637769
SLE,TTO,0.152821697
SLE,ZWE,0.151887033
SLE,LCA,0.140791748
SLE,ITA,0.10532925
SLE,MLI,0.103637172
